owner_info,BHK_info,price_info,locality_info,con_sta,pri_in,Area_inf
OWNER,2 , 36 L,Miyapur,Under Construction,"3,130 / sq ft",1150 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,130 / sq ft",1150 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,130 / sq ft",1150 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,130 / sq ft",1150 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,130 / sq ft",1150 
OWNER,2 , 26 L,muthangi,Under Construction,"2,260 / sq ft",1150 
OWNER,2 , 26 L,muthangi,Under Construction,"2,260 / sq ft",1150 
OWNER,2 , 26 L,muthangi,Under Construction,"2,260 / sq ft",1150 
OWNER,2 , 26 L,muthangi,Under Construction,"2,260 / sq ft",1150 
OWNER,2 , 26 L,muthangi,Under Construction,"2,260 / sq ft",1150 
OWNER,2 , 35 L,muthangi,Under Construction,"2,243 / sq ft",1560 
OWNER,2 , 35 L,muthangi,Under Construction,"2,243 / sq ft",1560 
OWNER,2 , 26 L,muthangi,Under Construction,"2,260 / sq ft",1150 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,130 / sq ft",1150 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,2 , 34 L,Miyapur,Under Construction,"3,269 / sq ft",1040 
OWNER,2 , 35 L,muthangi,Under Construction,"2,243 / sq ft",1560 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,2 , 38 L,Chandanagar Vill,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,130 / sq ft",1150 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,2 , 34 L,Miyapur,Under Construction,"3,269 / sq ft",1040 
OWNER,2 , 26 L,muthangi,Under Construction,"2,260 / sq ft",1150 
OWNER,2 , 38 L,Chandanagar Vill,Under Construction,"3,653 / sq ft",1040 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,130 / sq ft",1150 
OWNER,2 , 26 L,muthangi,Under Construction,"2,260 / sq ft",1150 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,3 , 54.6 L,Miyapur,Under Construction,"3,500 / sq ft",1560 
OWNER,2 , 44 L,Miyapur,Under Construction,"4,190 / sq ft",1050 
OWNER,2 , 35 L,muthangi,Under Construction,"2,243 / sq ft",1560 
OWNER,2 , 35 L,muthangi,Under Construction,"2,243 / sq ft",1560 
OWNER,2 , 26 L,muthangi,Under Construction,"2,260 / sq ft",1150 
OWNER,2 , 26 L,muthangi,Under Construction,"2,260 / sq ft",1150 
OWNER,2 , 26 L,muthangi,Under Construction,"2,260 / sq ft",1150 
OWNER,2 , 38 L,Chandanagar Vill,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,130 / sq ft",1150 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,130 / sq ft",1150 
OWNER,2 , 35 L,muthangi,Under Construction,"2,243 / sq ft",1560 
OWNER,2 , 35 L,muthangi,Under Construction,"2,243 / sq ft",1560 
OWNER,2 , 35 L,muthangi,Under Construction,"2,243 / sq ft",1560 
OWNER,2 , 35 L,muthangi,Under Construction,"2,243 / sq ft",1560 
OWNER,2 , 36 L,Chandanagar,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,2 , 38 L,Chandanagar,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 34 L,Chandanagar,Under Construction,"3,269 / sq ft",1040 
OWNER,2 , 70 L,Manikonda,Ready to move,"5,384 / sq ft",1300 
OWNER,2 , 70 L,Manikonda,Ready to move,"5,384 / sq ft",1300 
OWNER,2 , 70 L,Manikonda,Ready to move,"5,384 / sq ft",1300 
OWNER,3 , 59 L,Nizampet,Ready to move,"3,460 / sq ft",1705 
OWNER,2 , 36 L,Chandanagar,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Chandanagar,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,2 , 36 L,Chandanagar,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,2 , 36 L,Chandanagar,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,492 / sq ft",1260 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,492 / sq ft",1260 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,492 / sq ft",1260 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,492 / sq ft",1260 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,492 / sq ft",1260 
OWNER,2 , 36 L,Chandanagar,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Chandanagar,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,2 , 36 L,Chandanagar,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,584 / sq ft",1060 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,584 / sq ft",1060 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,584 / sq ft",1060 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,584 / sq ft",1060 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,584 / sq ft",1060 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,584 / sq ft",1060 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,584 / sq ft",1060 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,584 / sq ft",1060 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,2 , 38 L,Miyapur,Under Construction,"3,653 / sq ft",1040 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 37 L,Chandanagar,Under Construction,"3,557 / sq ft",1040 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,2 , 36 L,Miyapur,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,548 / sq ft",1240 
OWNER,2 , 36 L,Chandanagar,Under Construction,"3,529 / sq ft",1020 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,492 / sq ft",1260 
OWNER,2 , 38 L,Chandanagar,Under Construction,"3,653 / sq ft",1040 
OWNER,2 , 34 L,Chandanagar,Under Construction,"3,269 / sq ft",1040 
OWNER,3 , 44 L,Chandanagar,Under Construction,"3,492 / sq ft",1260 
OWNER,3 , 59 L,Nizampet,Ready to move,"3,460 / sq ft",1705 
OWNER,2 , 70 L,Manikonda,Ready to move,"5,384 / sq ft",1300 
OWNER,2 , 70 L,Manikonda,Ready to move,"5,384 / sq ft",1300 
OWNER,2 , 70 L,Manikonda,Ready to move,"5,384 / sq ft",1300 
OWNER,3 , 59 L,Nizampet,Ready to move,"3,460 / sq ft",1705 
OWNER,Residential Plot, 11.26 L,Shadnagar,Resale,856 / sq ft,1314 
OWNER,Residential Plot, 11.26 L,Shadnagar,Resale,856 / sq ft,1314 
OWNER,Residential Plot, 11.26 L,Shadnagar,Resale,856 / sq ft,1314 
OWNER,Residential Plot, 11.26 L,Shadnagar,Resale,856 / sq ft,1314 
OWNER,Residential Plot, 11.26 L,Shadnagar,Resale,856 / sq ft,1314 
OWNER,Residential Plot, 11.26 L,Shadnagar,Resale,856 / sq ft,1314 
OWNER,Residential Plot, 11.26 L,Shadnagar,Resale,856 / sq ft,1314 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,3 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 26 L,muthangi,Under Construction,"2,222 / sq ft",1170 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"1,733 / sq ft",1500 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
OWNER,3 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,3 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"2,222 / sq ft",1170 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 26 L,muthangi,Under Construction,"2,222 / sq ft",1170 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,3 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,3 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 26 L,muthangi,Under Construction,"2,222 / sq ft",1170 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,3 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,3 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,2 , 35.7 L,Miyapur,Under Construction,"3,500 / sq ft",1020 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 26 L,muthangi,Under Construction,"2,222 / sq ft",1170 
OWNER,3 , 36 L,muthangi,Under Construction,"2,292 / sq ft",1570 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 26 L,muthangi,Under Construction,"1,699 / sq ft",1530 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 26 L,muthangi,Under Construction,"1,733 / sq ft",1500 
OWNER,2 , 26 L,muthangi,Under Construction,"1,733 / sq ft",1500 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
OWNER,2 , 26 L,muthangi,Under Construction,"1,733 / sq ft",1500 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,2 , 26 L,muthangi,Under Construction,"1,733 / sq ft",1500 
OWNER,2 , 26 L,muthangi,Under Construction,"1,733 / sq ft",1500 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
OWNER,2 , 26 L,muthangi,Under Construction,"2,241 / sq ft",1160 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,3 , 43.4 L,Miyapur,Under Construction,"3,500 / sq ft",1240 
OWNER,3 , 36 L,muthangi,Under Construction,"2,307 / sq ft",1560 
